id,tema,institucion,titulo,url_original,archivo_local,fecha_descarga,fecha_publicacion,codigo_serie,periodo_utilizado,tipo,sha256,nota
mora_auditoria_causal_20260825,morosidad,Elaboración propia,Auditoría causal mora pobreza desempleo,,/data/fuentes/morosidad/metodologia/AUDITORIA_CAUSAS_MORA_POBREZA_DESEMPLEO.md,2026-08-25,2026-08-25,,2022/2026,metodología,b085505e98c2d9417dc8970b15703bf3007c1ac910617116a942ef182311e056,"Mapa de fuentes BCRA/INDEC y auditoría de denominadores, rezagos y originación"
cftea_auditoria_20260825,tasas,Elaboración propia,Brecha de costo del crédito vs CFTEA teórico de referencia,,/data/fuentes/tasas/metodologia/AUDITORIA_CFTEA_REFERENCIA_Y_CARGA_CREDITO.md,2026-08-25,2026-08-25,,2019-12/2026-07,metodología,7d4e27a3d728152d350574286073beda929a6736604badbb6f03b04767d1cefa,"Define inflación equivalente, banda de referencia, CFTEA estandarizado y límites de interpretación"
supermercados_portal,supermercados,INDEC,Encuesta de supermercados,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-1-34,/data/fuentes/supermercados/indec/FUENTES_SUPERMERCADOS.md,2026-08-25,,,2017/2026,portal oficial,,"Portal primario para informes y series modernas"
supermercados_archivo,supermercados,INDEC,Información histórica y discontinuidades,https://www.indec.gob.ar/indec/web/Institucional-Indec-InformacionDeArchivo-1,/data/fuentes/supermercados/indec/FUENTES_SUPERMERCADOS.md,2026-08-25,,,1996/2016,portal oficial,,"Documenta discontinuidades; no se empalman eras silenciosamente"
supermercados_auditoria_20260825,supermercados,Elaboración propia,Auditoría historia supermercados 2017-2026,,/data/fuentes/supermercados/metodologia/AUDITORIA_SUPERMERCADOS_HISTORICO_2017_2026.md,2026-08-25,2026-08-25,,2017/2026,metodología,fc2868576d88bd67013d710f1bf3d718a34fa0d3a1b2fd9381d8e959488d4b31,"Separa observado, derivado, N/D y discontinuidades"
supermercados_moderno_derived,supermercados,Elaboración propia,Serie moderna real y nominal base 2017=100,,/data/derivados/supermercados/supermercados_moderno_2017_2026.csv,2026-08-25,2026-08-25,,2017-01/2026-06,CSV derivado,f3518ece4e92d8a75a0abe681d599ac21b4e78aa6ca121a21382230500377465,"2019-abr2026 observado INDEC; 2017-18 y may-jun2026 marcados como derivados"
supermercados_medios_pago_derived,supermercados,Elaboración propia,Medios de pago snapshots 2020-2026,,/data/derivados/supermercados/supermercados_medios_pago_2020_2026.csv,2026-08-25,2026-08-25,,2020-12/2026-06,CSV derivado,f77a9dbecf05857bdc1e4c0cd7065f022dfb73107632822cd3824d85a76507a9,"Tarjeta de crédito es medio de pago; no implica deuda revolvente"
supermercados_estructura_derived,supermercados,Elaboración propia,Operaciones ticket bocas empleo,,/data/derivados/supermercados/supermercados_estructura_2020_2026.csv,2026-08-25,2026-08-25,,2020-12/2026-06,CSV derivado,d3fe0bcea3c3c39773acb915508ddf0d0c456638b211bd57dbd56d88d2f4c270,"Ticket real es proxy derivado; operaciones no son personas únicas"
supermercados_rubros_derived,supermercados,Elaboración propia,Composición nominal por rubros,,/data/derivados/supermercados/supermercados_rubros_composicion_2023_2026.csv,2026-08-25,2026-08-25,,2023-12/2026-04,CSV derivado,3fc1ccdd9f0ea71392bfc1fc6af07b0adb24f14457c1f72244353d61fb20ba2d,"Snapshots nominales; no se fabrica serie real larga por rubro"
supermercados_territorio_derived,supermercados,Elaboración propia,Referencias territoriales 1S-2026,,/data/derivados/supermercados/supermercados_territorio_1S2026_referencias.csv,2026-08-25,2026-08-25,,1S-2026,CSV derivado,f47a8c931b2fc157d07ba5dec02041de776bf88c918b6b4b4ed58f15cdd83c96,"Ranking parcial; sólo referencias con valor explícito publicado"
